class,filename,mean_r,mean_g,mean_b,var_r,var_g,var_b,std_r,std_g,std_b,ratio_rg,ratio_gb,ratio_rb,lbp_mean,edge_mean,mean_gray,std_gray,var_gray
forest,forest_029.jpg,0.20205239070793793,0.2193897329166259,0.1715231688212412,0.006184571040910623,0.006881518935374876,0.004464851131133533,0.07864204372287525,0.08295492110402418,0.06681954153639137,0.9209327104546653,1.2789930625327464,1.1779202360477672,4.77880859375,77.36540620593291,0.21225436842600248,0.08035090945378892,0.006456268650050986
forest,forest_030.jpg,0.1560132761511216,0.1926238740049095,0.14398149765275867,0.005227766219074256,0.0067926569709873385,0.004362541148888917,0.07230329327958897,0.08241757683278088,0.06604953556906298,0.8098953362021126,1.3377447776078402,1.0834895024659992,4.83001708984375,91.58907469463006,0.1813370066259895,0.07865513189273246,0.006186629773063139
forest,forest_031.jpg,0.15493615853509257,0.2403978125249224,0.16282429541707,0.0038980608118305065,0.005719008202826724,0.0037361000221346986,0.062434452122450045,0.07562412447643097,0.06112364536032434,0.6444722278691787,1.4763340358318728,0.9514958635602665,4.78692626953125,70.8443063056278,0.2166441604686074,0.07067966256454548,0.004995614700238012
forest,forest_032.jpg,0.18657899903697306,0.26473177242417595,0.20645433058061824,0.0035292566824051902,0.005512171977039546,0.0028074410888753324,0.05940754735221098,0.07424400297020323,0.05298529125026428,0.70475844189043,1.2822155365999455,0.9036863583761722,4.75946044921875,74.55631461672934,0.24392250452247485,0.06880596710620322,0.004734261109419919
forest,forest_033.jpg,0.2135743210205787,0.2283278394503761,0.18485463704763008,0.005535556511871988,0.005938336680296855,0.004579163471558661,0.07440132063258009,0.07706060394453741,0.0676695165606986,0.935343531035705,1.2351082559480955,1.155301113460394,4.8160400390625,81.41998437297775,0.22205829889080614,0.07550072605030869,0.0057003596341237625
forest,forest_034.jpg,0.2744764562944337,0.32219049327848887,0.2367535287897088,0.029966318309379864,0.03171751310042318,0.019485786613362782,0.1731078227850488,0.17809411304257977,0.13959149907269705,0.8518809313466641,1.360811333255028,1.1592852062034484,4.612548828125,130.71176711762664,0.30589125527973615,0.17374166507351327,0.030186166182516856
forest,forest_035.jpg,0.15784405501132903,0.19405217649531847,0.14649541007544245,0.005717580580413959,0.006845023576794933,0.004460949631003527,0.07561468495215701,0.0827346576520078,0.06679034085108061,0.8133684670651771,1.32453932175878,1.077394035688155,4.8634033203125,88.79298096261874,0.18292910782109764,0.07948934244134286,0.0063185555617570706
forest,forest_036.jpg,0.18659222228037806,0.23653874748671364,0.17582967611036404,0.0068542758773461445,0.008798455116952854,0.006318146940383842,0.0827905542761138,0.09380008058073754,0.07948677210947644,0.7888108656794239,1.3451955367470787,1.0611497155128133,4.79241943359375,113.3818130656548,0.22154798683413252,0.08977800210307021,0.00806008966161888
forest,forest_037.jpg,0.22251407835676537,0.21678771043958273,0.16711797249126717,0.001746934306389974,0.0018398192044816282,0.0015837190841727381,0.04179634321791769,0.042893113718656846,0.03979596818991515,1.0263672891452222,1.297136004273075,1.3313993764173273,4.880859375,43.86816646441463,0.2144233755159105,0.04193160487075219,0.001758259487036889
forest,forest_038.jpg,0.1976424325813554,0.1985252471904616,0.14691331446267153,0.002521390933332585,0.0026403310901286126,0.002080574834021039,0.050213453708469254,0.051384152130093695,0.04561331860346316,0.9955029919284322,1.351216775339631,1.3452080992330862,4.83135986328125,55.0700488566863,0.1946164287363529,0.050231784753279184,0.002523232199499771
forest,forest_039.jpg,0.16766751463959656,0.2470008065418515,0.17475121430911972,0.0057566106804450064,0.006247510127135687,0.004482877708921336,0.07587233145518205,0.0790411925968712,0.06695429567190843,0.678786151047154,1.413361697664526,0.9594091875730747,4.77264404296875,64.1687604440679,0.22493328641264237,0.07617851513086044,0.005803166167542733
forest,forest_040.jpg,0.20192708730289838,0.2673471549022468,0.2069329724974549,0.004247702114868109,0.006952467016713327,0.00333482926394132,0.06517439769470915,0.08338145487285124,0.057747980604877604,0.7552709310387766,1.2918880582211352,0.9757619931035918,4.71649169921875,70.42032354858857,0.24908952798599976,0.0770890809330772,0.005942726399106526
forest,forest_041.jpg,0.19619961257456087,0.20705472048059223,0.16801900510143072,0.005991000786273683,0.006431559537304291,0.004417526144938025,0.07740155545125488,0.08019700454072017,0.06646447280267877,0.9475279618816101,1.2322558260438643,1.1676532421061765,4.8172607421875,79.56194835092901,0.20193353497172303,0.07810531642493126,0.006100440453838637
forest,forest_042.jpg,0.13383903965943733,0.141241230230098,0.12063411481543738,0.005607490171746196,0.006028840951431835,0.005080626289473089,0.07488317682728342,0.07764561128249191,0.07127851211601635,0.9475247715819096,1.1707262343146227,1.1093706465846733,4.77117919921875,52.370308190391405,0.13818249171243557,0.07623908872804674,0.005812398650082984
forest,forest_043.jpg,0.19646180649530107,0.24177695411928224,0.18217911859344482,0.006274469676740675,0.007699476436665851,0.005781200690313509,0.07921155014731548,0.08774666054423867,0.07603420736953538,0.8125409710830773,1.3270658312959278,1.0783399580175024,4.79522705078125,108.76335482944575,0.22785048130777336,0.08456452864433436,0.007151159504838448
forest,forest_044.jpg,0.19902600424454234,0.2412798911640711,0.1820732520069303,0.005325040202766904,0.007204402465566405,0.004140885538866562,0.07297287306093206,0.08487875155518255,0.06434971281106515,0.8248418667038547,1.325107545612639,1.0930494817665446,4.7578125,91.73799357992635,0.22803214151044138,0.08023949016450982,0.006438375781860468
forest,forest_045.jpg,0.2560572386269397,0.2970973811632205,0.22189304874150323,0.028986040751614664,0.029928152597246564,0.021081365481377397,0.17025287296141192,0.17299755084175777,0.1451942336367991,0.8618339861649911,1.3388611956806045,1.1539149195071357,4.653076171875,149.2923908461143,0.282954118506655,0.17015330565408956,0.028952147425014032
forest,forest_046.jpg,0.24180080408146992,0.2841557393364445,0.21970173844775706,0.030729052767776842,0.03124770675627596,0.022365593268313902,0.17529704152602474,0.17677020890488296,0.1495513064747811,0.850914697338599,1.2933115970224363,1.1005365748310492,4.6329345703125,141.3835737197213,0.27050818213068806,0.17424194368225882,0.030360254938171453
forest,forest_047.jpg,0.21393280824390631,0.224288802900002,0.18096705297063825,0.006536816774498499,0.006745909757151534,0.004811732146164762,0.0808505830189152,0.08213348742840239,0.06936665010049686,0.9537848864012123,1.2393217770895553,1.1820990823550144,4.80706787109375,81.55391966687111,0.21896465586567454,0.08051952008004284,0.006483393113920424
